userid,version,sum_gamerounds,retention_1,retention_7,treatment,engagement_segment
116,gate_30,3,0,0,0,low
337,gate_30,38,1,0,0,high
377,gate_40,165,1,0,1,high
483,gate_40,1,0,0,1,low
488,gate_40,179,1,1,1,high
540,gate_40,187,1,1,1,high
1066,gate_30,0,0,0,0,non_player
1444,gate_40,2,0,0,1,low
1574,gate_40,108,1,1,1,high
1587,gate_40,153,1,0,1,high
1842,gate_40,3,0,1,1,low
2101,gate_30,0,0,0,0,non_player
2132,gate_40,30,1,0,1,high
2179,gate_30,39,1,0,0,high
2218,gate_30,305,1,1,0,high
2382,gate_30,73,1,0,0,high
2392,gate_30,14,1,0,0,medium
2451,gate_30,204,1,1,0,high
2482,gate_30,108,1,1,0,high
2502,gate_40,1,0,0,1,low
2530,gate_40,9,1,0,1,medium
2534,gate_30,5,1,0,0,medium
2695,gate_40,45,1,0,1,high
2729,gate_30,105,0,1,0,high
2829,gate_30,4,0,0,0,low
2963,gate_30,3,0,0,0,low
3095,gate_30,0,0,0,0,non_player
3132,gate_40,80,1,1,1,high
3186,gate_40,4,0,0,1,low
3199,gate_30,5,0,0,0,medium
3204,gate_40,53,1,1,1,high
3413,gate_30,37,1,0,0,high
3690,gate_30,13,1,0,0,medium
3696,gate_30,50,0,0,0,high
3993,gate_40,202,1,1,1,high
4076,gate_40,0,0,0,1,non_player
4162,gate_30,23,0,0,0,medium
4176,gate_30,0,0,0,0,non_player
4283,gate_30,103,0,0,0,high
4594,gate_30,27,0,0,0,medium
4653,gate_40,15,0,0,1,medium
4881,gate_30,0,0,0,0,non_player
4902,gate_40,1,0,0,1,low
4916,gate_40,49,1,0,1,high
4918,gate_30,7,0,0,0,medium
4929,gate_30,386,1,1,0,high
4945,gate_40,25,1,0,1,medium
5066,gate_30,1,0,0,0,low
5215,gate_30,13,1,0,0,medium
5286,gate_30,12,1,0,0,medium
5345,gate_40,6,0,0,1,medium
5479,gate_30,25,1,0,0,medium
5550,gate_30,29,1,0,0,medium
5661,gate_30,136,1,0,0,high
5712,gate_30,105,1,1,0,high
5920,gate_40,10,1,0,1,medium
5943,gate_40,76,0,0,1,high
6099,gate_40,138,0,0,1,high
6123,gate_30,0,0,0,0,non_player
6151,gate_30,94,1,1,0,high
6156,gate_40,1,0,0,1,low
6492,gate_30,0,0,0,0,non_player
6664,gate_40,26,1,0,1,medium
6695,gate_40,127,1,0,1,high
6833,gate_40,6,0,0,1,medium
6842,gate_40,4,0,0,1,low
6924,gate_30,21,0,0,0,medium
6930,gate_40,297,1,1,1,high
7124,gate_40,108,1,1,1,high
7253,gate_30,45,1,0,0,high
7321,gate_40,33,0,0,1,high
7509,gate_40,0,0,0,1,non_player
7527,gate_30,80,0,0,0,high
7564,gate_30,21,0,0,0,medium
7582,gate_40,3,0,0,1,low
7767,gate_30,139,1,1,0,high
7866,gate_30,14,0,0,0,medium
8063,gate_30,50,1,0,0,high
8254,gate_40,14,0,0,1,medium
8256,gate_40,14,0,0,1,medium
8288,gate_30,9,0,0,0,medium
8317,gate_40,3,0,0,1,low
8379,gate_30,0,0,0,0,non_player
